,India,England,India PCT,England PCT,South Africa,Australia,Australia PCT,India Qualify,England Qualify,Australia Qualify ,Check,Edge Case,,NewZealand,0.7
0,0,0,65.28%,62.78%,0,0,61.83%,Yes,,,,0,,Yes,
1,0,0,65.28%,62.78%,0,1,66.33%,,,Yes,,0,,,
2,0,0,65.28%,62.78%,0,2,70.83%,,,Yes,,0,,,
3,0,0,65.28%,62.78%,0,3,75.33%,,,Yes,,1,,,
4,0,0,65.28%,62.78%,1,0,59.67%,Yes,,,,0,,,
5,0,0,65.28%,62.78%,1,1,64.17%,Yes,,,,0,,,
6,0,0,65.28%,62.78%,1,2,68.67%,,,Yes,,0,,,
7,0,0,65.28%,62.78%,2,0,57.50%,Yes,,,,0,,,
8,0,0,65.28%,62.78%,2,1,62.00%,Yes,,,,0,,,
9,0,0,65.28%,62.78%,3,0,55.33%,Yes,,,,1,,,
10,0,1,63.89%,65.56%,0,0,61.83%,,Yes,,,0,,,
11,0,1,63.89%,65.56%,0,1,66.33%,,,Yes,,0,,,
12,0,1,63.89%,65.56%,0,2,70.83%,,,Yes,,0,,,
13,0,1,63.89%,65.56%,0,3,75.33%,,,Yes,,1,,,
14,0,1,63.89%,65.56%,1,0,59.67%,,Yes,,,0,,,
15,0,1,63.89%,65.56%,1,1,64.17%,,Yes,,,0,,,
16,0,1,63.89%,65.56%,1,2,68.67%,,,Yes,,0,,,
17,0,1,63.89%,65.56%,2,0,57.50%,,Yes,,,0,,,
18,0,1,63.89%,65.56%,2,1,62.00%,,Yes,,,0,,,
19,0,1,63.89%,65.56%,3,0,55.33%,,Yes,,,1,,,
20,0,2,62.50%,68.33%,0,0,61.83%,,Yes,,,0,,,
21,0,2,62.50%,68.33%,0,1,66.33%,,Yes,,,0,,,
22,0,2,62.50%,68.33%,0,2,70.83%,,,Yes,,0,,,
23,0,2,62.50%,68.33%,0,3,75.33%,,,Yes,,1,,,
24,0,2,62.50%,68.33%,1,0,59.67%,,Yes,,,0,,,
25,0,2,62.50%,68.33%,1,1,64.17%,,Yes,,,0,,,
26,0,2,62.50%,68.33%,1,2,68.67%,,,Yes,,0,,,
27,0,2,62.50%,68.33%,2,0,57.50%,,Yes,,,0,,,
28,0,2,62.50%,68.33%,2,1,62.00%,,Yes,,,0,,,
29,0,2,62.50%,68.33%,3,0,55.33%,,Yes,,,1,,,
30,0,3,61.11%,71.11%,0,0,61.83%,,Yes,,,0,,,
31,0,3,61.11%,71.11%,0,1,66.33%,,Yes,,,0,,,
32,0,3,61.11%,71.11%,0,2,70.83%,,Yes,Yes,,0,,,
33,0,3,61.11%,71.11%,0,3,75.33%,,Yes,Yes,,1,,,
34,0,3,61.11%,71.11%,1,0,59.67%,,Yes,,,0,,,
35,0,3,61.11%,71.11%,1,1,64.17%,,Yes,,,0,,,
36,0,3,61.11%,71.11%,1,2,68.67%,,Yes,,,0,,,
37,0,3,61.11%,71.11%,2,0,57.50%,,Yes,,,0,,,
38,0,3,61.11%,71.11%,2,1,62.00%,,Yes,,,0,,,
39,0,3,61.11%,71.11%,3,0,55.33%,,Yes,,,1,,,
40,0,4,59.72%,73.89%,0,0,61.83%,,Yes,,,1,,,
41,0,4,59.72%,73.89%,0,1,66.33%,,Yes,,,1,,,
42,0,4,59.72%,73.89%,0,2,70.83%,,Yes,Yes,,1,,,
43,0,4,59.72%,73.89%,0,3,75.33%,,Yes,Yes,,1,,,
44,0,4,59.72%,73.89%,1,0,59.67%,,Yes,,,1,,,
45,0,4,59.72%,73.89%,1,1,64.17%,,Yes,,,1,,,
46,0,4,59.72%,73.89%,1,2,68.67%,,Yes,,,1,,,
47,0,4,59.72%,73.89%,2,0,57.50%,,Yes,,,1,,,
48,0,4,59.72%,73.89%,2,1,62.00%,,Yes,,,1,,,
49,0,4,59.72%,73.89%,3,0,55.33%,,Yes,,,1,,,
50,1,0,68.06%,61.39%,0,0,61.83%,Yes,,,,0,,,
51,1,0,68.06%,61.39%,0,1,66.33%,Yes,,,,0,,,
52,1,0,68.06%,61.39%,0,2,70.83%,,,Yes,,0,,,
53,1,0,68.06%,61.39%,0,3,75.33%,,,Yes,,1,,,
54,1,0,68.06%,61.39%,1,0,59.67%,Yes,,,,0,,,
55,1,0,68.06%,61.39%,1,1,64.17%,Yes,,,,0,,,
56,1,0,68.06%,61.39%,1,2,68.67%,,,Yes,,0,,,
57,1,0,68.06%,61.39%,2,0,57.50%,Yes,,,,0,,,
58,1,0,68.06%,61.39%,2,1,62.00%,Yes,,,,0,,,
59,1,0,68.06%,61.39%,3,0,55.33%,Yes,,,,1,,,
60,1,1,66.67%,64.17%,0,0,61.83%,Yes,,,,0,,,
61,1,1,66.67%,64.17%,0,1,66.33%,Yes,,,,0,,,
62,1,1,66.67%,64.17%,0,2,70.83%,,,Yes,,0,,,
63,1,1,66.67%,64.17%,0,3,75.33%,,,Yes,,1,,,
64,1,1,66.67%,64.17%,1,0,59.67%,Yes,,,,0,,,
65,1,1,66.67%,64.17%,1,1,64.17%,Yes,,,,0,,,
66,1,1,66.67%,64.17%,1,2,68.67%,,,Yes,,0,,,
67,1,1,66.67%,64.17%,2,0,57.50%,Yes,,,,0,,,
68,1,1,66.67%,64.17%,2,1,62.00%,Yes,,,,0,,,
69,1,1,66.67%,64.17%,3,0,55.33%,Yes,,,,1,,,
70,1,2,65.28%,66.94%,0,0,61.83%,,Yes,,,0,,,
71,1,2,65.28%,66.94%,0,1,66.33%,,Yes,,,0,,,
72,1,2,65.28%,66.94%,0,2,70.83%,,,Yes,,0,,,
73,1,2,65.28%,66.94%,0,3,75.33%,,,Yes,,1,,,
74,1,2,65.28%,66.94%,1,0,59.67%,,Yes,,,0,,,
75,1,2,65.28%,66.94%,1,1,64.17%,,Yes,,,0,,,
76,1,2,65.28%,66.94%,1,2,68.67%,,,Yes,,0,,,
77,1,2,65.28%,66.94%,2,0,57.50%,,Yes,,,0,,,
78,1,2,65.28%,66.94%,2,1,62.00%,,Yes,,,0,,,
79,1,2,65.28%,66.94%,3,0,55.33%,,Yes,,,1,,,
